" Nom de la classe d’actions"," Classe d’actifs","Devise","ISIN"," Date de valorisation","VL"," Evolution quotidienne en valeur"," Evolution quotidienne en %"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.08.2024"," 417,3998"," 2,2515"," 0,5423"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.08.2024"," 415,1483"," 2,7394"," 0,6642"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.08.2024"," 412,4089"," 5,5071"," 1,3534"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.08.2024"," 406,9018"," -5,5739"," -1,3513"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.08.2024"," 412,4757"," 9,8392"," 2,4437"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","06.08.2024"," 402,6365"," 8,5865"," 2,1790"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.08.2024"," 394,0500"," -18,7866"," -4,5506"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.08.2024"," 412,8366"," -13,9619"," -3,2713"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.08.2024"," 426,7985"," -0,6440"," -0,1507"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","31.07.2024"," 427,4425"," 3,0269"," 0,7132"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","30.07.2024"," 424,4156"," -0,3935"," -0,0926"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","29.07.2024"," 424,8091"," 3,9505"," 0,9387"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.07.2024"," 420,8586"," 2,4404"," 0,5832"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","25.07.2024"," 418,4182"," -4,8573"," -1,1476"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","24.07.2024"," 423,2755"," -4,9223"," -1,1495"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","23.07.2024"," 428,1978"," 1,4474"," 0,3392"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","22.07.2024"," 426,7504"," 0,5095"," 0,1195"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.07.2024"," 426,2409"," -7,0619"," -1,6298"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","18.07.2024"," 433,3028"," 0,5435"," 0,1256"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","17.07.2024"," 432,7593"," -1,4222"," -0,3276"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","16.07.2024"," 434,1815"," -0,9484"," -0,2180"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","15.07.2024"," 435,1299"," 2,2961"," 0,5305"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.07.2024"," 432,8338"," -1,7149"," -0,3946"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","11.07.2024"," 434,5487"," 4,1263"," 0,9587"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","10.07.2024"," 430,4224"," 0,5659"," 0,1316"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.07.2024"," 429,8565"," -0,6649"," -0,1544"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.07.2024"," 430,5214"," 2,2956"," 0,5361"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.07.2024"," 428,2258"," 1,2622"," 0,2956"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","04.07.2024"," 426,9636"," 4,4407"," 1,0510"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","03.07.2024"," 422,5229"," 5,6125"," 1,3462"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.07.2024"," 416,9104"," -3,8147"," -0,9067"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.07.2024"," 420,7251"," 0,1069"," 0,0254"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","28.06.2024"," 420,6182"," -0,2569"," -0,0610"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","27.06.2024"," 420,8751"," 2,5775"," 0,6162"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.06.2024"," 418,2976"," -1,2992"," -0,3096"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","25.06.2024"," 419,5968"," -0,1663"," -0,0396"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","24.06.2024"," 419,7631"," 2,7301"," 0,6546"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","21.06.2024"," 417,0330"," -2,0353"," -0,4857"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","20.06.2024"," 419,0683"," 0,4931"," 0,1178"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.06.2024"," 418,5752"," 2,1684"," 0,5207"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","18.06.2024"," 416,4068"," 3,1193"," 0,7548"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","17.06.2024"," 413,2875"," -0,4176"," -0,1009"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","14.06.2024"," 413,7051"," -4,2385"," -1,0141"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.06.2024"," 417,9436"," -1,8587"," -0,4428"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.06.2024"," 419,8023"," 6,5927"," 1,5955"
