,base,target,market,last,volume,converted_last,converted_volume,trust_score,bid_ask_spread_percentage,timestamp,last_traded_at,last_fetch_at,is_anomaly,is_stale,trade_url,token_info_url,coin_id,target_coin_id
27,AVAX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",26.43,1407735.78,"{'btc': 0.00042455, 'eth': 0.01083308, 'usd': 26.42, 'usd_v2': 26.42}","{'btc': 601.082, 'eth': 15338, 'usd': 37399236, 'usd_v2': 37398866}",green,0.03785,2024-10-08T20:08:14+00:00,2024-10-08T20:08:14+00:00,2024-10-08T20:09:19+00:00,False,False,https://www.binance.com/en/trade/AVAX_USDT?ref=37754157,,avalanche-2,tether
28,SHIB,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.713e-05,3297196207704.0,"{'btc': 2.75416e-10, 'eth': 7.03e-09, 'usd': 1.713e-05, 'usd_v2': 1.712e-05}","{'btc': 925.517, 'eth': 23625, 'usd': 57548468, 'usd_v2': 57532275}",green,0.058207,2024-10-08T20:03:25+00:00,2024-10-08T20:03:25+00:00,2024-10-08T20:03:25+00:00,False,False,https://www.binance.com/en/trade/SHIB_USDT?ref=37754157,,shiba-inu,tether
29,BONK,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",2.098e-05,2144600458649.0,"{'btc': 3.36936e-10, 'eth': 8.595e-09, 'usd': 2.098e-05, 'usd_v2': 2.097e-05}","{'btc': 729.217, 'eth': 18602, 'usd': 45401628, 'usd_v2': 45382080}",green,0.047664,2024-10-08T20:13:09+00:00,2024-10-08T20:13:09+00:00,2024-10-08T20:13:09+00:00,False,False,https://www.binance.com/en/trade/BONK_USDT?ref=37754157,,bonk,tether
30,TRX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.1599,301491493.3,"{'btc': 2.57e-06, 'eth': 6.549e-05, 'usd': 0.159815, 'usd_v2': 0.159805}","{'btc': 760.593, 'eth': 19407, 'usd': 47361240, 'usd_v2': 47358359}",green,0.0625,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:15:09+00:00,False,False,https://www.binance.com/en/trade/TRX_USDT?ref=37754157,,tron,tether
31,ICP,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",8.007,2321647.77,"{'btc': 0.00012852, 'eth': 0.0032792, 'usd': 8.0, 'usd_v2': 8.0}","{'btc': 300.462, 'eth': 7666, 'usd': 18709389, 'usd_v2': 18708251}",green,0.024966,2024-10-08T20:14:21+00:00,2024-10-08T20:14:21+00:00,2024-10-08T20:15:13+00:00,False,False,https://www.binance.com/en/trade/ICP_USDT?ref=37754157,,internet-computer,tether
32,FIL,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",3.634,5497999.46,"{'btc': 5.833e-05, 'eth': 0.00148816, 'usd': 3.63, 'usd_v2': 3.63}","{'btc': 325.193, 'eth': 8297, 'usd': 20248490, 'usd_v2': 20248170}",green,0.027525,2024-10-08T20:13:05+00:00,2024-10-08T20:13:05+00:00,2024-10-08T20:14:20+00:00,False,False,https://www.binance.com/en/trade/FIL_USDT?ref=37754157,,filecoin,tether
33,APT,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",9.38,8563032.57,"{'btc': 0.00015064, 'eth': 0.00384281, 'usd': 9.38, 'usd_v2': 9.38}","{'btc': 1249, 'eth': 31849, 'usd': 77733933, 'usd_v2': 77700465}",green,0.106838,2024-10-08T20:13:07+00:00,2024-10-08T20:13:07+00:00,2024-10-08T20:13:07+00:00,False,False,https://www.binance.com/en/trade/APT_USDT?ref=37754157,,aptos,tether
34,DOT,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",4.108,3547253.61,"{'btc': 6.594e-05, 'eth': 0.0016824, 'usd': 4.11, 'usd_v2': 4.11}","{'btc': 235.118, 'eth': 5999, 'usd': 14640526, 'usd_v2': 14639635}",green,0.024319,2024-10-08T20:15:11+00:00,2024-10-08T20:15:11+00:00,2024-10-08T20:15:11+00:00,False,False,https://www.binance.com/en/trade/DOT_USDT?ref=37754157,,polkadot,tether
36,INJ,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",19.52,1245534.82,"{'btc': 0.00031331, 'eth': 0.00799425, 'usd': 19.51, 'usd_v2': 19.51}","{'btc': 399.038, 'eth': 10182, 'usd': 24847645, 'usd_v2': 24846133}",green,0.05123,2024-10-08T20:15:13+00:00,2024-10-08T20:15:13+00:00,2024-10-08T20:15:13+00:00,False,False,https://www.binance.com/en/trade/INJ_USDT?ref=37754157,,injective-protocol,tether
37,ATOM,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",4.363,2214808.52,"{'btc': 7.008e-05, 'eth': 0.0017883, 'usd': 4.36, 'usd_v2': 4.36}","{'btc': 157.303, 'eth': 4014, 'usd': 9787403, 'usd_v2': 9787306}",green,0.022915,2024-10-08T20:09:18+00:00,2024-10-08T20:09:18+00:00,2024-10-08T20:09:18+00:00,False,False,https://www.binance.com/en/trade/ATOM_USDT?ref=37754157,,cosmos,tether
